scenario,avian_included,prob_scenario,lead_days,n_total_us,N_downstream_us,n_total_base,N_downstream_base,portfolio_ev_us,portfolio_ev_base,ratio_ev,cost_per_flight_us,cost_per_flight_base,deaths_averted_us,deaths_averted_base,flights_per_year_us,flights_per_year_base,vsl,horizon_days,portfolio_view
A_screening_only,True,high,2,300000,350000000,10000,10000000,1674104649.5504606,54772866.97878019,30.56448825654924,3822.1567341334717,3751.5662314233005,447.3531702335088,14.746734827671917,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,high,5,300000,350000000,10000,10000000,3053714712.7136774,100139594.13737468,30.494578483356886,6971.951398889674,6858.876310779088,827.8594998584521,27.300699998022825,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,high,10,300000,350000000,10000,10000000,4103381882.572263,134760134.64739713,30.449523468560283,9368.451786694664,9230.146208725831,1121.1283453707106,36.98743296199862,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,high,14,300000,350000000,10000,10000000,4489257874.792001,147531873.32503927,30.429071180444904,10249.447202721463,10104.92283048214,1229.963825184898,40.59170288985989,438000.0,14600.0,3500000,365,A_screening_only_with_avian
B_screening_plus_countermeasures,False,low,2,300000,350000000,10000,10000000,6773672.240316434,211030.70635115122,32.09804088436859,15.465005114877703,14.454157969256933,1.4740096210191775,0.04735571248053933,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,5,300000,350000000,10000,10000000,16046268.34107967,510151.48592644493,31.45392845801348,36.63531584721385,34.94188259770171,3.8268261367511545,0.12453970869046319,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,10,300000,350000000,10000,10000000,35689128.68266887,1156870.5571946895,30.84971647062391,81.482028955865,79.23770939689655,9.152486019382,0.30079253512985504,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,low,14,300000,350000000,10000,10000000,58371253.677321605,1906475.0627342567,30.617370674445567,133.26770245963837,130.5804837489217,15.413756633909147,0.507969935946762,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,2,300000,350000000,10000,10000000,121356565.37289369,3750318.2456183694,32.35900460305706,277.0697839563783,256.87111271358697,25.569675642924057,0.8168372801068602,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,5,300000,350000000,10000,10000000,279968707.5339791,8839343.082508229,31.673021956574622,639.197962406345,605.4344577060431,65.19566898795647,2.113189135699879,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,10,300000,350000000,10000,10000000,607214366.619976,19594490.31608245,30.989036041503788,1386.334170365242,1342.0883778138666,153.55784084335139,5.035367447059767,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,base,14,300000,350000000,10000,10000000,981044271.4433606,31945522.67160164,30.70991454822781,2239.827103751965,2188.0494980549065,256.7144933681945,8.448631225172738,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,2,300000,350000000,10000,10000000,645872005.2477982,20054543.99555011,32.20576869716461,1474.5936192872105,1373.5989038048021,138.9131426212684,4.453006243210492,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,5,300000,350000000,10000,10000000,1507326886.116431,47779403.88930854,31.547628547406827,3441.38558474071,3272.5619102266123,356.40399317108097,11.580108463627093,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,10,300000,350000000,10000,10000000,3289095534.3493757,106406179.61600707,30.910756745697363,7509.3505350442365,7288.09449424706,839.4208556123557,27.564446788220803,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,14,300000,350000000,10000,10000000,5310364924.75329,173231446.10305297,30.654739911333582,12124.12083277007,11865.167541304998,1398.2841019840778,46.06660697669377,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,True,low,2,300000,350000000,10000,10000000,21550323.485188726,699329.7741470748,30.815681359301767,49.20165179266832,47.89929959911471,5.635223918208672,0.1848624424074008,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,5,300000,350000000,10000,10000000,68390090.71419418,2220900.9182880144,30.793850437466975,156.1417596214479,152.1165012526037,18.56785796338349,0.6063065193518692,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,10,300000,350000000,10000,10000000,214638719.65318716,6844562.547394739,31.359012086884288,490.04273893421725,468.80565393114654,59.54885860537667,1.902508270879495,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,14,300000,350000000,10000,10000000,406703969.073697,12681406.907638354,32.070887089722525,928.5478745974817,868.5895142218051,113.51222737172151,3.5423030963655635,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,2,300000,350000000,10000,10000000,490772846.494701,15957794.94051646,30.754427433369287,1120.485950901144,1092.9996534600316,129.6000330726614,4.254505528278398,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,5,300000,350000000,10000,10000000,1588564266.8618417,51608078.891547464,30.781309844920848,3626.8590567621955,3534.7999240785934,433.7214646537648,14.157359402235027,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,10,300000,350000000,10000,10000000,5080954140.882933,161786790.0710837,31.405247230942226,11600.351919824046,11081.286991170116,1413.4671554932183,45.07826084080075,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,14,300000,350000000,10000,10000000,9689362156.352747,301318818.79420406,32.156511814054426,22121.831407198053,20638.27525987699,2709.1762618135035,84.30696023564278,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,2,300000,350000000,10000,10000000,3231785973.100449,105506880.85983674,30.631044598823806,7378.506787900568,7226.498689029914,867.1256446294299,28.51668398041125,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,5,300000,350000000,10000,10000000,10667495801.411469,347160554.55258316,30.727845262142825,24355.013245231665,23778.12017483446,2936.0845628317393,95.88930032937311,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,10,300000,350000000,10000,10000000,34605273954.19006,1101752277.9010158,31.409305565601098,79007.47478125585,75462.4847877408,9658.786058161426,307.86470054440775,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,14,300000,350000000,10000,10000000,66268590119.11898,2058844518.96127,32.18727276819954,151298.15095689264,141016.7478740596,18565.516481101236,577.074910049984,438000.0,14600.0,3500000,365,B_screening_plus_countermeasures_with_avian
