scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_us,Bd_base,ratio_Bd,ev_us,ev_base,deaths_averted_us,deaths_averted_base,pct_of_portfolio_ev_us,portfolio_view
A_screening_only,False,low,14,Ebola-like viral haemorrhagic fever,0.001,0.05,51964104510.632935,1732088540.6025465,30.000836153881625,2598205.225531647,86604.42703012732,14718.435048108924,490.60080317059226,16.540565365941443,A_screening_only_without_avian
A_screening_only,False,low,14,Mpox-like orthopoxvirus,0.005,0.05,16163476730.378876,538739647.234667,30.00238949062961,4040869.182594719,134684.91180866674,4545.655692823492,151.50981231676363,25.724781165525453,A_screening_only_without_avian
A_screening_only,False,low,14,High-burden enteric outbreak,0.02,0.05,2026252109.731101,55967073.64774212,36.20436048674569,2026252.109731101,55967.07364774212,252.71061018496528,7.037563658567738,12.899425780358092,A_screening_only_without_avian
A_screening_only,False,base,2,SARS-like respiratory virus,0.02,0.2,7208721180.625837,240136917.41750735,30.01921261482921,28834884.72250335,960547.6696700294,1987.9112833678712,66.22130191598262,35.59488040574106,A_screening_only_without_avian
A_screening_only,False,base,2,Ebola-like viral haemorrhagic fever,0.005,0.2,10554186674.895939,351801365.43947506,30.000414187453494,10554186.674895938,351801.36543947505,2987.8590410958714,99.59392137991804,13.028490180839954,A_screening_only_without_avian
A_screening_only,False,base,2,Mpox-like orthopoxvirus,0.02,0.2,3163721997.596113,105453196.17316249,30.001195908761566,12654887.990384454,421812.78469264996,888.4595953531307,29.614138187233756,15.621675928332861,A_screening_only_without_avian
A_screening_only,False,base,2,High-burden enteric outbreak,0.1,0.2,1448227877.504879,40533645.990222424,35.7290305899011,28964557.550097585,810672.9198044486,174.8680917801579,4.901952291033176,35.754953485086126,A_screening_only_without_avian
A_screening_only,False,base,5,SARS-like respiratory virus,0.02,0.2,15376104197.0831,512072967.3061444,30.027174209120957,61504416.788332395,2048291.8692245777,4241.401743433187,141.2521832429569,40.22584939020245,A_screening_only_without_avian
A_screening_only,False,base,5,Ebola-like viral haemorrhagic fever,0.005,0.2,24093457353.387283,803100113.2425077,30.000565254698095,24093457.353387285,803100.1132425077,6821.576092350386,227.38157361756018,15.757889228054259,A_screening_only_without_avian
A_screening_only,False,base,5,Mpox-like orthopoxvirus,0.02,0.2,7298633230.114721,243274658.64189813,30.001617393525386,29194532.920458887,973098.6345675925,2050.3200569654364,68.34031811474293,19.09415527534064,A_screening_only_without_avian
