scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_aus,Bd_base,ratio_Bd,ev_aus,ev_base,deaths_averted_aus,deaths_averted_base,pct_of_portfolio_ev_aus
A,False,base,10,SARS-like respiratory virus,0.02,0.2,4191289749.78594,801437536.7310243,5.229714803329216,16765158.99914376,3205750.146924097,1156.7805502732426,221.1917080288843,47.21388647469982
A,False,base,10,Ebola-like viral haemorrhagic fever,0.005,0.2,7305318647.176246,1386435750.2052023,5.269136089497842,7305318.647176246,1386435.7502052023,2068.78958474067,392.6241918663443,20.57317113943879
A,False,base,10,Mpox-like orthopoxvirus,0.02,0.2,2247106348.7031727,426595472.0427035,5.267534458214387,8988425.39481269,1706381.8881708141,631.6261930410758,119.90919447050297,25.31312087160458
A,False,base,10,High-burden enteric outbreak,0.1,0.2,122502735.30671442,56175592.903420955,2.1807110343690614,2450054.7061342886,1123511.8580684194,15.932307232214711,6.966731638186481,6.8998215142568124
A,False,base,14,SARS-like respiratory virus,0.02,0.2,4901191271.865335,937837818.2255151,5.226054203208492,19604765.08746134,3751351.2729020608,1353.381998583548,258.964418396031,46.156040444166706
A,False,base,14,Ebola-like viral haemorrhagic fever,0.005,0.2,9126424725.858047,1732088540.6025465,5.269028985483163,9126424.725858048,1732088.5406025464,2584.9889987525617,490.60080317059226,21.486594043749097
A,False,base,14,Mpox-like orthopoxvirus,0.02,0.2,2837663747.0304213,538739647.234667,5.267226500956551,11350654.988121685,2154958.588938668,798.0373211312984,151.50981231676363,26.72316084188122
A,False,base,14,High-burden enteric outbreak,0.1,0.2,119656341.78220177,55967073.64774212,2.137977456804713,2393126.8356440356,1119341.4729548427,16.096324029604304,7.037563658567738,5.634204670202969
A,False,high,2,SARS-like respiratory virus,0.05,0.4,1260188665.4041674,240136917.41750735,5.247792296813636,25203773.30808335,4802738.348350148,347.515716802362,66.22130191598262,41.656582630795704
A,False,high,2,Ebola-like viral haemorrhagic fever,0.02,0.4,1853823955.8264818,351801365.43947506,5.269518932965651,14830591.646611854,2814410.9235158004,524.8118811080603,99.59392137991804,24.511876013126066
A,False,high,2,Mpox-like orthopoxvirus,0.05,0.4,555591899.0420732,105453196.17316249,5.268611281631971,11111837.980841467,2109063.92346325,156.02534319874258,29.614138187233756,18.365551513688686
A,False,high,2,High-burden enteric outbreak,0.25,0.4,93574959.19133198,40533645.990222424,2.308574935842294,9357495.9191332,4053364.5990222427,11.45833178346566,4.901952291033176,15.46598984238954
A,False,high,5,SARS-like respiratory virus,0.05,0.4,2682579857.65178,512072967.3061444,5.238667199645381,53651597.15303561,10241459.34612289,739.9757245699767,141.2521832429569,42.91789172826042
A,False,high,5,Ebola-like viral haemorrhagic fever,0.02,0.4,4231810366.925002,803100113.2425077,5.269343506675793,33854482.93540002,6424800.905940061,1198.1512058815367,227.38157361756018,27.081449765480638
A,False,high,5,Mpox-like orthopoxvirus,0.05,0.4,1281600608.443003,243274658.64189813,5.268122111845309,25632012.168860063,4865493.172837963,360.0251640028092,68.34031811474293,20.50399207879588
A,False,high,5,High-burden enteric outbreak,0.25,0.4,118717695.80133069,52976298.698916554,2.24095866863116,11871769.58013307,5297629.869891656,14.847929111289943,6.463851949066473,9.496666427463074
A,False,high,10,SARS-like respiratory virus,0.05,0.4,4191289749.78594,801437536.7310243,5.229714803329216,83825794.99571882,16028750.73462049,1156.7805502732426,221.1917080288843,42.02621178974365
A,False,high,10,Ebola-like viral haemorrhagic fever,0.02,0.4,7305318647.176246,1386435750.2052023,5.269136089497842,58442549.17740997,11091486.001641618,2068.78958474067,392.6241918663443,29.30027623821259
A,False,high,10,Mpox-like orthopoxvirus,0.05,0.4,2247106348.7031727,426595472.0427035,5.267534458214387,44942126.97406346,8531909.440854073,631.6261930410758,119.90919447050297,22.531815494144787
A,False,high,10,High-burden enteric outbreak,0.25,0.4,122502735.30671442,56175592.903420955,2.1807110343690614,12250273.530671442,5617559.290342096,15.932307232214711,6.966731638186481,6.141696477898985
A,False,high,14,SARS-like respiratory virus,0.05,0.4,4901191271.865335,937837818.2255151,5.226054203208492,98023825.43730673,18756756.364510305,1353.381998583548,258.964418396031,40.88514532416641
A,False,high,14,Ebola-like viral haemorrhagic fever,0.02,0.4,9126424725.858047,1732088540.6025465,5.269028985483163,73011397.80686438,13856708.324820371,2584.9889987525617,490.60080317059226,30.452612886071748
A,False,high,14,Mpox-like orthopoxvirus,0.05,0.4,2837663747.0304213,538739647.234667,5.267226500956551,56753274.940608434,10774792.944693342,798.0373211312984,151.50981231676363,23.671448071093575
A,False,high,14,High-burden enteric outbreak,0.25,0.4,119656341.78220177,55967073.64774212,2.137977456804713,11965634.178220177,5596707.364774212,16.096324029604304,7.037563658567738,4.99079371866826
A,True,low,2,SARS-like respiratory virus,0.005,0.05,1260188665.4041674,240136917.41750735,5.247792296813636,315047.1663510419,60034.22935437684,347.515716802362,66.22130191598262,17.24444890289847
A,True,low,2,Avian-influenza-like respiratory virus,0.002,0.03,19778950058.358063,3904122779.469406,5.0661700913633005,1186737.0035014837,234247.3667681644,5569.111090275571,1099.3408976633266,64.95733910286128
A,True,low,2,Ebola-like viral haemorrhagic fever,0.001,0.05,1853823955.8264818,351801365.43947506,5.269518932965651,92691.1977913241,17590.068271973752,524.8118811080603,99.59392137991804,5.073553406539496
A,True,low,2,Mpox-like orthopoxvirus,0.005,0.05,555591899.0420732,105453196.17316249,5.268611281631971,138897.97476051832,26363.299043290623,156.02534319874258,29.614138187233756,7.602731540854305
A,True,low,2,High-burden enteric outbreak,0.02,0.05,93574959.19133198,40533645.990222424,2.308574935842294,93574.95919133199,40533.64599022242,11.45833178346566,4.901952291033176,5.121927046846449
A,True,low,5,SARS-like respiratory virus,0.005,0.05,2682579857.65178,512072967.3061444,5.238667199645381,670644.9644129451,128018.2418265361,739.9757245699767,141.2521832429569,19.608317108718737
A,True,low,5,Avian-influenza-like respiratory virus,0.002,0.03,34980888545.6154,6981924842.150679,5.0102069753646985,2098853.3127369243,418915.49052904075,9849.552564636691,1966.0392559068287,61.36627202868183
A,True,low,5,Ebola-like viral haemorrhagic fever,0.001,0.05,4231810366.925002,803100113.2425077,5.269343506675793,211590.51834625012,40155.00566212539,1198.1512058815367,227.38157361756018,6.186483461578285
A,True,low,5,Mpox-like orthopoxvirus,0.005,0.05,1281600608.443003,243274658.64189813,5.268122111845309,320400.1521107507,60818.66466047453,360.0251640028092,68.34031811474293,9.367859475048421
A,True,low,5,High-burden enteric outbreak,0.02,0.05,118717695.80133069,52976298.698916554,2.24095866863116,118717.69580133069,52976.29869891656,14.847929111289943,6.463851949066473,3.471067925972734
A,True,low,10,SARS-like respiratory virus,0.005,0.05,4191289749.78594,801437536.7310243,5.229714803329216,1047822.437446485,200359.38418275607,1156.7805502732426,221.1917080288843,22.030072308184774
A,True,low,10,Avian-influenza-like respiratory virus,0.002,0.03,44316000576.58044,8903850398.089415,4.9771726382655475,2658960.0345948264,534231.0238853649,12478.852540252818,2507.4045917391877,55.90363379643624
A,True,low,10,Ebola-like viral haemorrhagic fever,0.001,0.05,7305318647.176246,1386435750.2052023,5.269136089497842,365265.9323588123,69321.78751026012,2068.78958474067,392.6241918663443,7.679578728234798
A,True,low,10,Mpox-like orthopoxvirus,0.005,0.05,2247106348.7031727,426595472.0427035,5.267534458214387,561776.5871757931,106648.86801067588,631.6261930410758,119.90919447050297,11.811141271881823
A,True,low,10,High-burden enteric outbreak,0.02,0.05,122502735.30671442,56175592.903420955,2.1807110343690614,122502.73530671441,56175.592903420955,15.932307232214711,6.966731638186481,2.575573895262355
A,True,low,14,SARS-like respiratory virus,0.005,0.05,4901191271.865335,937837818.2255151,5.226054203208492,1225297.8179663338,234459.4545563788,1353.381998583548,258.964418396031,23.07955086577352
A,True,low,14,Avian-influenza-like respiratory virus,0.002,0.03,46638800041.82841,9385419840.594383,4.969282230732339,2798328.0025097043,563125.190435663,13133.888591664509,2643.205284226903,52.70894351238911
A,True,low,14,Ebola-like viral haemorrhagic fever,0.001,0.05,9126424725.858047,1732088540.6025465,5.269028985483163,456321.2362929024,86604.42703012732,2584.9889987525617,490.60080317059226,8.595207654604724
A,True,low,14,Mpox-like orthopoxvirus,0.005,0.05,2837663747.0304213,538739647.234667,5.267226500956551,709415.9367576053,134684.91180866674,798.0373211312984,151.50981231676363,13.362466624287569
A,True,low,14,High-burden enteric outbreak,0.02,0.05,119656341.78220177,55967073.64774212,2.137977456804713,119656.34178220177,55967.07364774212,16.096324029604304,7.037563658567738,2.2538313429450545
A,True,base,2,SARS-like respiratory virus,0.02,0.2,1260188665.4041674,240136917.41750735,5.247792296813636,5040754.66161667,960547.6696700294,347.515716802362,66.22130191598262,12.398284967554229
A,True,base,2,Avian-influenza-like respiratory virus,0.01,0.15,19778950058.358063,3904122779.469406,5.0661700913633005,29668425.087537095,5856184.169204109,5569.111090275571,1099.3408976633266,72.97272203599908
A,True,base,2,Ebola-like viral haemorrhagic fever,0.005,0.2,1853823955.8264818,351801365.43947506,5.269518932965651,1853823.9558264818,351801.36543947505,524.8118811080603,99.59392137991804,4.559681878396336
A,True,base,2,Mpox-like orthopoxvirus,0.02,0.2,555591899.0420732,105453196.17316249,5.268611281631971,2222367.596168293,421812.78469264996,156.02534319874258,29.614138187233756,5.466155091768741
A,True,base,2,High-burden enteric outbreak,0.1,0.2,93574959.19133198,40533645.990222424,2.308574935842294,1871499.18382664,810672.9198044486,11.45833178346566,4.901952291033176,4.603156026281599
A,True,base,5,SARS-like respiratory virus,0.02,0.2,2682579857.65178,512072967.3061444,5.238667199645381,10730319.430607121,2048291.8692245777,739.9757245699767,141.2521832429569,14.31965206111116
A,True,base,5,Avian-influenza-like respiratory virus,0.01,0.15,34980888545.6154,6981924842.150679,5.0102069753646985,52471332.81842311,10472887.263226017,9849.552564636691,1966.0392559068287,70.02319306537825
A,True,base,5,Ebola-like viral haemorrhagic fever,0.005,0.2,4231810366.925002,803100113.2425077,5.269343506675793,4231810.366925002,803100.1132425077,1198.1512058815367,227.38157361756018,5.647367017809324
A,True,base,5,Mpox-like orthopoxvirus,0.02,0.2,1281600608.443003,243274658.64189813,5.268122111845309,5126402.433772012,973098.6345675925,360.0251640028092,68.34031811474293,6.841203530946069
A,True,base,5,High-burden enteric outbreak,0.1,0.2,118717695.80133069,52976298.698916554,2.24095866863116,2374353.916026614,1059525.9739783313,14.847929111289943,6.463851949066473,3.168584324755199
A,True,base,10,SARS-like respiratory virus,0.02,0.2,4191289749.78594,801437536.7310243,5.229714803329216,16765158.99914376,3205750.146924097,1156.7805502732426,221.1917080288843,16.439176924553777
A,True,base,10,Avian-influenza-like respiratory virus,0.01,0.15,44316000576.58044,8903850398.089415,4.9771726382655475,66474000.86487066,13355775.597134123,12478.852540252818,2507.4045917391877,65.18147911131416
A,True,base,10,Ebola-like viral haemorrhagic fever,0.005,0.2,7305318647.176246,1386435750.2052023,5.269136089497842,7305318.647176246,1386435.7502052023,2068.78958474067,392.6241918663443,7.163273890650584
A,True,base,10,Mpox-like orthopoxvirus,0.02,0.2,2247106348.7031727,426595472.0427035,5.267534458214387,8988425.39481269,1706381.8881708141,631.6261930410758,119.90919447050297,8.813654278257935
