scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,conditional_Bd_raw,expected_annual_contribution,expected_deaths_averted_per_year,cost_per_arriving_flight_contribution,n_total,pct_of_portfolio_ev,portfolio_view
A_screening_only,False,high,14,SARS-like respiratory virus,SARS-CoV-2,0.05,0.4,0.020000000000000004,937837818.2255151,937837818.2255151,18756756.364510305,5.179288367920622,1284.7093400349524,10000,38.290843659825974,A_screening_only_without_avian
A_screening_only,False,high,14,Ebola-like viral haemorrhagic fever,Ebola,0.02,0.4,0.008,1732088540.6025465,1732088540.6025465,13856708.324820371,3.9248064253647383,949.0896112890665,10000,28.28767628018173,A_screening_only_without_avian
A_screening_only,False,high,14,Mpox-like orthopoxvirus,Mpox,0.05,0.4,0.020000000000000004,538739647.234667,538739647.234667,10774792.944693342,3.030196246335273,737.9995167598179,10000,21.996122575483486,A_screening_only_without_avian
A_screening_only,False,high,14,High-burden enteric outbreak,Norovirus,0.25,0.4,0.1,55967073.64774212,55967073.64774212,5596707.364774212,0.7037563658567738,383.33612087494606,10000,11.425357484508806,A_screening_only_without_avian
A_screening_only,True,low,2,SARS-like respiratory virus,SARS-CoV-2,0.005,0.05,0.00025,240136917.41750735,240136917.41750735,60034.22935437684,0.016555325478995655,4.111933517423071,10000,15.84984284865462,A_screening_only_with_avian
A_screening_only,True,low,2,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.002,0.03,6e-05,3904122779.469406,3904122779.469406,234247.3667681644,0.0659604538597996,16.0443401896003,10000,61.84445092266155,A_screening_only_with_avian
A_screening_only,True,low,2,Ebola-like viral haemorrhagic fever,Ebola,0.001,0.05,5e-05,351801365.43947506,351801365.43947506,17590.068271973752,0.004979696068995902,1.204799196710531,10000,4.644014269961867,A_screening_only_with_avian
A_screening_only,True,low,2,Mpox-like orthopoxvirus,Mpox,0.005,0.05,0.00025,105453196.17316249,105453196.17316249,26363.299043290623,0.0074035345468084395,1.8057054139240152,10000,6.960265023836424,A_screening_only_with_avian
A_screening_only,True,low,2,High-burden enteric outbreak,Norovirus,0.02,0.05,0.001,40533645.990222424,40533645.990222424,40533.64599022242,0.004901952291033176,2.7762771226179743,10000,10.701426934885546,A_screening_only_with_avian
A_screening_only,True,low,5,SARS-like respiratory virus,SARS-CoV-2,0.005,0.05,0.00025,512072967.3061444,512072967.3061444,128018.2418265361,0.03531304581073923,8.76837272784494,10000,18.265261636845942,A_screening_only_with_avian
A_screening_only,True,low,5,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.002,0.03,6e-05,6981924842.150679,6981924842.150679,418915.49052904075,0.11796235535440973,28.692841817057584,10000,59.769615088203274,A_screening_only_with_avian
A_screening_only,True,low,5,Ebola-like viral haemorrhagic fever,Ebola,0.001,0.05,5e-05,803100113.2425077,803100113.2425077,40155.00566212539,0.01136907868087801,2.750342853570232,10000,5.729196667468369,A_screening_only_with_avian
A_screening_only,True,low,5,Mpox-like orthopoxvirus,Mpox,0.005,0.05,0.00025,243274658.64189813,243274658.64189813,60818.66466047453,0.017085079528685734,4.165661963046201,10000,8.677426018179377,A_screening_only_with_avian
A_screening_only,True,low,5,High-burden enteric outbreak,Norovirus,0.02,0.05,0.001,52976298.698916554,52976298.698916554,52976.29869891656,0.0064638519490664735,3.6285136095148327,10000,7.55850058930304,A_screening_only_with_avian
A_screening_only,True,low,10,SARS-like respiratory virus,SARS-CoV-2,0.005,0.05,0.00025,801437536.7310243,801437536.7310243,200359.38418275607,0.055297927007221075,13.723245491969594,10000,20.725332264703987,A_screening_only_with_avian
A_screening_only,True,low,10,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,0.002,0.03,6e-05,8903850398.089415,8903850398.089415,534231.0238853649,0.15044427550435127,36.59116601954554,10000,55.261277235898596,A_screening_only_with_avian
A_screening_only,True,low,10,Ebola-like viral haemorrhagic fever,Ebola,0.001,0.05,5e-05,1386435750.2052023,1386435750.2052023,69321.78751026012,0.019631209593317215,4.74806763768905,10000,7.170700215483089,A_screening_only_with_avian
A_screening_only,True,low,10,Mpox-like orthopoxvirus,Mpox,0.005,0.05,0.00025,426595472.0427035,426595472.0427035,106648.86801067588,0.02997729861762574,7.304716987032595,10000,11.031842776875784,A_screening_only_with_avian
A_screening_only,True,low,10,High-burden enteric outbreak,Norovirus,0.02,0.05,0.001,56175592.903420955,56175592.903420955,56175.592903420955,0.0069667316381864805,3.8476433495493803,10000,5.810847507038547,A_screening_only_with_avian
