scale,scenario,avian_included,prob_scenario,lead_days,n_total,N_downstream,flights_per_year,portfolio_ev_usd,annual_threshold_usd,threshold_per_flight_usd,deaths_averted,vsl,icu_enabled
Australia,B,False,base,10,52700,27100000,76942.0,94068733.40201151,94068733.40201151,1222.5927764031544,25.17481803366997,3500000,True
Australia,B,False,base,14,52700,27100000,76942.0,156516304.82007992,156516304.82007992,2034.2115466205703,42.41310256101685,3500000,True
Australia,B,False,high,2,52700,27100000,76942.0,84288632.97981778,84288632.97981778,1095.4827399835951,20.798187050199573,3500000,True
Australia,B,False,high,5,52700,27100000,76942.0,217493237.09964103,217493237.09964103,2826.716709984677,56.58882582866932,3500000,True
Australia,B,False,high,10,52700,27100000,76942.0,514982077.93092084,514982077.93092084,6693.1205054576285,138.45288567032833,3500000,True
Australia,B,False,high,14,52700,27100000,76942.0,854043996.7755017,854043996.7755017,11099.841397097836,232.20568504704772,3500000,True
Australia,B,True,low,2,52700,27100000,76942.0,3342236.1240392495,3342236.1240392495,43.438383770102796,0.908787462973109,3500000,True
Australia,B,True,low,5,52700,27100000,76942.0,10393629.322688678,10393629.322688678,135.08395054311922,2.8705243152936455,3500000,True
Australia,B,True,low,10,52700,27100000,76942.0,28981118.76050563,28981118.76050563,376.6618850628478,8.067335862757258,3500000,True
Australia,B,True,low,14,52700,27100000,76942.0,48673496.710936666,48673496.710936666,632.5998376821069,13.57599112813962,3500000,True
Australia,B,True,base,2,52700,27100000,76942.0,76586591.55559722,76586591.55559722,995.3808265394351,20.921938890034337,3500000,True
Australia,B,True,base,5,52700,27100000,76942.0,240958119.5921494,240958119.5921494,3131.685160148546,66.73159887815831,3500000,True
Australia,B,True,base,10,52700,27100000,76942.0,677964014.9962169,677964014.9962169,8811.364599259401,189.03986233529008,3500000,True
Australia,B,True,base,14,52700,27100000,76942.0,1137978436.6822886,1137978436.6822886,14790.081316865804,317.85484899903616,3500000,True
Australia,B,True,high,2,52700,27100000,76942.0,512047573.69343764,512047573.69343764,6654.981332606868,140.8551752011066,3500000,True
Australia,B,True,high,5,52700,27100000,76942.0,1626261043.029328,1626261043.029328,21136.194055643577,451.9669115667278,3500000,True
Australia,B,True,high,10,52700,27100000,76942.0,4602249049.090358,4602249049.090358,59814.52326545135,1285.5081957816687,3500000,True
Australia,B,True,high,14,52700,27100000,76942.0,7724278919.810962,7724278919.810962,100390.92978881445,2160.2979101131828,3500000,True
United_States,A,False,low,2,300000,350000000,438000.0,4613679.395626387,4613679.395626387,10.533514601886727,1.043353763515202,3500000,True
United_States,A,False,low,5,300000,350000000,438000.0,8848865.441657405,8848865.441657405,20.20288913620412,2.145764803942684,3500000,True
United_States,A,False,low,10,300000,350000000,438000.0,13416860.615590371,13416860.615590371,30.63210186207847,3.3993511367697784,3500000,True
United_States,A,False,low,14,300000,350000000,438000.0,15808161.924818601,15808161.924818601,36.09169389227991,4.069751935149139,3500000,True
United_States,A,False,base,2,300000,350000000,438000.0,81858342.3464723,81858342.3464723,186.89119257185456,17.990704391583037,3500000,True
United_States,A,False,base,5,300000,350000000,438000.0,154210879.52623618,154210879.52623618,352.0796336215438,36.62357427845506,3500000,True
