pathogen,prevalence_tier,follow_up_modality,wbe_false_positive_rate,follow_up_coverage,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,wbe_detection_prob_q,wbe_cost_per_sample,uc_total_cost,wbe_total_cost,delta_c_wbe_minus_uc,wbe_cheaper
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.45,15,496820393.8074452,1093742508.6803608,596922114.8729155,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.45,25,496820393.8074452,1093886675.344603,597066281.5371578,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.45,40,496820393.8074452,1094102925.340968,597282531.5335226,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.45,60,496820393.8074452,1094391258.669455,597570864.8620098,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.45,100,496820393.8074452,1094967925.3264291,598147531.5189838,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.45,150,496820393.8074452,1095688758.6476471,598868364.8402019,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.5,10,496820393.8074452,1072483377.251287,575662983.4438417,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.5,15,496820393.8074452,1072555460.5834095,575735066.7759643,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.5,25,496820393.8074452,1072699627.2476529,575879233.4402077,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.5,40,496820393.8074452,1072915877.2440182,576095483.436573,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.5,60,496820393.8074452,1073204210.5725054,576383816.7650602,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.5,100,496820393.8074452,1073780877.2294793,576960483.422034,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.5,150,496820393.8074452,1074501710.550697,577681316.7432518,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.55,10,496820393.8074452,1052887955.2710139,556067561.4635687,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.55,15,496820393.8074452,1052960038.6031334,556139644.7956882,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.55,25,496820393.8074452,1053104205.2673782,556283811.459933,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.55,40,496820393.8074452,1053320455.2637444,556500061.4562991,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.55,60,496820393.8074452,1053608788.592231,556788394.7847857,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.55,100,496820393.8074452,1054185455.2492034,557365061.4417582,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.55,150,496820393.8074452,1054906288.5704224,558085894.7629771,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.6,10,496820393.8074452,1034759447.5789927,537939053.7715476,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.6,15,496820393.8074452,1034831530.9111143,538011137.1036692,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.6,25,496820393.8074452,1034975697.5753583,538155303.7679131,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.6,40,496820393.8074452,1035191947.5717227,538371553.7642775,False
