pathogen,prevalence_tier,follow_up_modality,wbe_detection_prob_q,wbe_false_positive_rate,follow_up_coverage,wbe_cost_per_sample,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,cost_per_test,uc_cumulative_infections,gate_cumulative_infections,delta_cumulative_infections,uc_cumulative_hosp_cases,gate_cumulative_hosp_cases,delta_cumulative_hosp_cases,uc_cumulative_deaths,gate_cumulative_deaths,delta_cumulative_deaths,uc_hospital_cost,gate_hospital_cost,delta_hospital_cost,uc_productivity_cost,gate_productivity_cost,delta_productivity_cost,uc_mortality_cost,gate_mortality_cost,delta_mortality_cost,uc_icu_cost,gate_icu_cost,delta_icu_cost,uc_programme_cost,gate_programme_cost,gate_wbe_sampling_cost,programme_cost_ratio,programme_cost_saving_pct,uc_total_societal_cost,gate_total_societal_cost,delta_total_societal_cost,max_rel_health_deviation
Mpox,0.5x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,100.0,341.8909681656987,341.8909681656988,5.684341886080802e-14,38.462733918640744,38.462733918640744,0.0,16.923602924201944,16.923602924201955,1.0658141036401503e-14,1064719.1353468169,1064719.135346817,2.3283064365386963e-10,226252.81626119834,226252.81626119846,1.1641532182693481e-10,58559552.444074854,58559552.44407487,1.4901161193847656e-08,39926.96757550561,39926.96757550563,2.1827872842550278e-11,360416660.6088435,84791922.80850585,0.0,0.23526083024372074,76.47391697562793,420307111.972102,144682374.17176425,-275624737.80033773,6.297796683210766e-16
Mpox,0.5x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,20.0,341.8909681656987,341.8909681656988,5.684341886080802e-14,38.462733918640744,38.462733918640744,0.0,16.923602924201944,16.923602924201955,1.0658141036401503e-14,1064719.1353468169,1064719.135346817,2.3283064365386963e-10,226252.81626119834,226252.81626119846,1.1641532182693481e-10,58559552.444074854,58559552.44407487,1.4901161193847656e-08,39926.96757550561,39926.96757550563,2.1827872842550278e-11,72083332.12176865,16958384.561701164,0.0,0.23526083024372083,76.47391697562792,131973783.4850271,76848835.92495956,-55124947.56006755,6.297796683210766e-16
Mpox,1x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,12.5,7405.092598457609,7405.092598457609,0.0,833.0729173264842,833.072917326485,7.958078640513122e-13,366.5520836236525,366.5520836236526,1.1368683772161603e-13,23061025.11996947,23061025.119969472,3.725290298461914e-09,4900467.837993514,4900467.837993514,0.0,1268356381.5983212,1268356381.5983214,2.384185791015625e-07,864788.4419988558,864788.4419988561,3.4924596548080444e-10,45052082.57610544,18180851.65906345,0.0,0.4035518586371886,59.644814136281134,1342234745.5743885,1315363514.6573465,-26871230.917042017,9.55267957341881e-16
Mpox,1x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,100.0,683.7705609712066,683.7705609712067,1.1368683772161603e-13,76.92418810926006,76.92418810926007,1.4210854715202004e-14,33.84664276807442,33.84664276807444,2.1316282072803006e-14,2129403.0078704283,2129403.007870429,9.313225746154785e-10,452498.139172466,452498.1391724661,1.1641532182693481e-10,117117165.43287364,117117165.43287367,2.9802322387695312e-08,79852.61279514105,79852.61279514106,1.4551915228366852e-11,360416660.6088435,145446813.2725076,0.0,0.4035518586371886,59.644814136281134,480195579.8015549,265225732.4652191,-214969847.3363358,6.297901454766859e-16
Mpox,1x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,20.0,683.7705609712066,683.7705609712067,1.1368683772161603e-13,76.92418810926006,76.92418810926007,1.4210854715202004e-14,33.84664276807442,33.84664276807444,2.1316282072803006e-14,2129403.0078704283,2129403.007870429,9.313225746154785e-10,452498.139172466,452498.1391724661,1.1641532182693481e-10,117117165.43287364,117117165.43287367,2.9802322387695312e-08,79852.61279514105,79852.61279514106,1.4551915228366852e-11,72083332.12176865,29089362.654501513,0.0,0.4035518586371888,59.64481413628112,191862251.31448022,148868281.84721315,-42993969.467267066,6.297901454766859e-16
Mpox,2x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,12.5,14804.856830240735,14804.856830240735,0.0,1665.5463934020895,1665.5463934020909,1.3642420526593924e-12,732.8404130969188,732.8404130969188,0.0,46105532.56481901,46105532.564819016,7.450580596923828e-09,9797425.670024024,9797425.670024026,1.862645149230957e-09,2535804291.0650434,2535804291.065044,4.76837158203125e-07,1728957.4711807116,1728957.471180712,4.656612873077393e-10,45052082.57610544,28021887.27757165,0.0,0.6219887222801505,37.80112777198495,2638488289.347174,2621458094.0486403,-17030195.298533916,8.19095798269993e-16
Mpox,2x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,100.0,1367.4956251750264,1367.4956251750266,2.2737367544323206e-13,153.84325783218912,153.84325783218915,2.842170943040401e-14,67.69103344616325,67.69103344616326,1.4210854715202004e-14,4258664.978885139,4258664.978885141,1.862645149230957e-09,904966.3080130918,904966.3080130921,3.4924596548080444e-10,234226573.8386826,234226573.83868268,8.940696716308594e-08,159699.93670819286,159699.93670819292,5.820766091346741e-11,360416660.6088435,224175098.2205732,0.0,0.6219887222801505,37.80112777198495,599966565.6711322,463725003.28286284,-136241562.38826936,4.373777130781892e-16
Mpox,2x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,20.0,1367.4956251750264,1367.4956251750266,2.2737367544323206e-13,153.84325783218912,153.84325783218915,2.842170943040401e-14,67.69103344616325,67.69103344616326,1.4210854715202004e-14,4258664.978885139,4258664.978885141,1.862645149230957e-09,904966.3080130918,904966.3080130921,3.4924596548080444e-10,234226573.8386826,234226573.83868268,8.940696716308594e-08,159699.93670819286,159699.93670819292,5.820766091346741e-11,72083332.12176865,44835019.644114636,0.0,0.6219887222801508,37.80112777198492,311633237.184058,284384924.706404,-27248312.47765404,4.373777130781892e-16
Norovirus,0.5x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,12.5,2548784.1933514774,2548784.1933514774,0.0,11469.528870081656,11469.528870081656,0.0,11.469528870081643,11.469528870081643,0.0,45872255.476358116,45872255.476358116,0.0,9747854.288726093,9747854.288726093,0.0,40138223.54181342,40138223.54181342,0.0,2064251.4964361147,2064251.4964361147,0.0,45052082.57610544,25387629.50791936,0.0,0.5635173349652067,43.64826650347933,142874667.37943915,123210214.31125315,-19664453.068186,0.0
Norovirus,0.5x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.03,2,100.0,436440.19924013875,436440.19924013875,0.0,1963.9808965806228,1963.9808965806228,0.0,1.963980896580626,1.963980896580626,0.0,7854035.556135586,7854035.556135586,0.0,1668982.5556788098,1668982.5556788098,0.0,6872281.111618636,6872281.111618636,0.0,353431.6000261013,353431.6000261013,0.0,360416660.6088435,203101036.06335488,0.0,0.5635173349652067,43.64826650347933,377165391.4323028,219849766.88681412,-157315624.54548866,0.0
