scenario,avian_included,prob_scenario,lead_days,n_threats,portfolio_ev,cost_per_arriving_flight,expected_deaths_averted_per_year,expected_infections_averted_per_year,flights_per_year,n_total_arrivals_per_day,avg_pax_per_flight,response_modality,vsl,horizon_days,avian_pct,portfolio_view
A_screening_only,False,high,10,4,41542938.44409417,2845.4067427461764,10.659684748737149,155460.62089321663,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,False,high,14,4,49289308.593005985,3375.9800406168483,12.838047405477406,157149.67555890695,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,A_screening_only_without_avian
A_screening_only,True,low,2,5,380853.0466569207,26.08582511348772,0.09980096224563276,1095.3793923476485,14600.0,10000,250,High-throughput molecular screening,3500000,365,61.70652305637647,A_screening_only_with_avian
A_screening_only,True,low,5,5,704363.3750338717,48.244066783141896,0.18819341132377918,1448.0863653082874,14600.0,10000,250,High-throughput molecular screening,3500000,365,59.6682779798301,A_screening_only_with_avian
A_screening_only,True,low,10,5,971258.4076195001,66.52454846708905,0.2623174423607018,1564.5956428600423,14600.0,10000,250,High-throughput molecular screening,3500000,365,55.18337758434398,A_screening_only_with_avian
A_screening_only,True,low,14,5,1079762.4399605263,73.95633150414564,0.2927784785489102,1582.2200820907785,14600.0,10000,250,High-throughput molecular screening,3500000,365,52.32277967679581,A_screening_only_with_avian
A_screening_only,True,base,2,5,8445100.807815963,578.4315621791756,2.2299860741084374,21916.610551217058,14600.0,10000,250,High-throughput molecular screening,3500000,365,69.57026872573311,A_screening_only_with_avian
A_screening_only,True,base,5,5,15430273.583922321,1056.8680536933095,4.144087501889931,28974.50953228239,14600.0,10000,250,High-throughput molecular screening,3500000,365,68.09365600640402,A_screening_only_with_avian
A_screening_only,True,base,10,5,20872188.37341391,1429.6019433845142,5.657469322236404,31302.080536320955,14600.0,10000,250,High-throughput molecular screening,3500000,365,64.19705313208256,A_screening_only_with_avian
A_screening_only,True,base,14,5,22937818.827894922,1571.083481362666,6.23805692553348,31651.1737356946,14600.0,10000,250,High-throughput molecular screening,3500000,365,61.57535364764989,A_screening_only_with_avian
A_screening_only,True,high,2,5,55036372.37334303,3769.6145461193855,14.746734827671917,109768.13487819265,14600.0,10000,250,High-throughput molecular screening,3500000,365,74.72686427097489,A_screening_only_with_avian
