scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,panel_target,avian_influenza,avian_influenza_label,probability_note,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,expected_annual_contribution,expected_deaths_averted_per_year,expected_infections_averted_per_year,cost_per_arriving_flight_contribution,pct_of_portfolio_ev,portfolio_view
A_screening_only,True,low,2,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,241492178.50591385,60373.04462647846,0.016555325478995655,2.207376730532682,4.135140042909484,15.852057678525961,A_screening_only_with_avian
A_screening_only,True,low,2,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,influenza A / avian influenza broad panel,True,Illustrative avian-influenza stress test; not a validated H5N1 estimate.,UNSOURCED SCENARIO ASSUMPTION — illustrative only,0.002,0.03,6e-05,3916852884.104416,235011.17304626497,0.0659604538597996,3.690095320827949,16.09665568810034,61.70652305637647,A_screening_only_with_avian
A_screening_only,True,low,2,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.001,0.05,5e-05,353436560.6499882,17671.82803249941,0.004979696068995902,0.00962260109950864,1.2103991803081786,4.6400647671379955,A_screening_only_with_avian
A_screening_only,True,low,2,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,105523812.04786122,26380.953011965306,0.0074035345468084395,0.14956635448097816,1.8069145898606374,6.926806347890331,A_screening_only_with_avian
A_screening_only,True,low,2,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.05,0.001,41416047.939712554,41416.04793971255,0.004901952291033176,1089.3227313407074,2.836715612309079,10.874548150069252,A_screening_only_with_avian
A_screening_only,True,low,5,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,514963782.718466,128740.9456796165,0.03531304581073923,4.708406108098493,8.817872991754555,18.27763200683533,A_screening_only_with_avian
A_screening_only,True,low,5,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,influenza A / avian influenza broad panel,True,Illustrative avian-influenza stress test; not a validated H5N1 estimate.,UNSOURCED SCENARIO ASSUMPTION — illustrative only,0.002,0.03,6e-05,7004691610.055396,420281.4966033238,0.11796235535440973,6.599292607239711,28.786403876939985,59.6682779798301,A_screening_only_with_avian
A_screening_only,True,low,5,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.001,0.05,5e-05,806833377.1732329,40341.66885866165,0.01136907868087801,0.021969234165948356,2.763128004017921,5.727394451297483,A_screening_only_with_avian
A_screening_only,True,low,5,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,243437617.05326664,60859.40426331666,0.017085079528685734,0.34515312179163105,4.168452346802511,8.640341962753249,A_screening_only_with_avian
A_screening_only,True,low,5,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.05,0.001,54139859.62895316,54139.85962895316,0.0064638519490664735,1436.4115442369916,3.708209563626929,7.686353599283844,A_screening_only_with_avian
A_screening_only,True,low,10,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,805964357.9865174,201491.08949662937,0.055297927007221075,7.373056934296362,13.800759554563655,20.74536373800591,A_screening_only_with_avian
A_screening_only,True,low,10,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,influenza A / avian influenza broad panel,True,Illustrative avian-influenza stress test; not a validated H5N1 estimate.,UNSOURCED SCENARIO ASSUMPTION — illustrative only,0.002,0.03,6e-05,8932886573.27259,535973.1943963554,0.15044427550435127,8.416462965278402,36.71049276687366,55.18337758434398,A_screening_only_with_avian
A_screening_only,True,low,10,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.001,0.05,5e-05,1392881958.856351,69644.09794281755,0.019631209593317215,0.037934704528149774,4.770143694713531,7.170501423355637,A_screening_only_with_avian
A_screening_only,True,low,10,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,426881392.9713511,106720.34824283778,0.02997729861762574,0.605601992275268,7.3096128933450535,10.987842926827616,A_screening_only_with_avian
A_screening_only,True,low,10,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.05,0.001,57429677.54085997,57429.67754085997,0.0069667316381864805,1548.162586263664,3.9335395575931487,5.912914327466868,A_screening_only_with_avian
A_screening_only,True,low,14,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,943137669.2712979,235784.4173178245,0.06474110459900775,8.632147279867935,16.149617624508526,21.8366937570494,A_screening_only_with_avian
A_screening_only,True,low,14,Avian-influenza-like respiratory virus,pandemic H5N1-like stress scenario,influenza A / avian influenza broad panel,True,Illustrative avian-influenza stress test; not a validated H5N1 estimate.,UNSOURCED SCENARIO ASSUMPTION — illustrative only,0.002,0.03,6e-05,9416028708.222347,564961.7224933408,0.15859231705361418,8.872297457544848,38.696008389954855,52.32277967679581,A_screening_only_with_avian
A_screening_only,True,low,14,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.001,0.05,5e-05,1740143255.0663261,87007.16275331631,0.024530040158529613,0.04740104378459883,5.959394709131254,8.057991233376955,A_screening_only_with_avian
A_screening_only,True,low,14,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,539100914.5110083,134775.22862775208,0.03787745307919091,0.7652010723068865,9.231180042996717,12.481933399413224,A_screening_only_with_avian
A_screening_only,True,low,14,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.05,0.001,57233908.768292546,57233.908768292546,0.007037563658567738,1563.9030352372743,3.9201307375542838,5.30060193336461,A_screening_only_with_avian
