pathogen,countermeasure_status,trigger_day,reduction_strength,ramp_days,post_intervention_Rt,winner,winner_key,cost_none,cost_rapid,cost_lab,cost_molecular
Influenza A/B,swept,35,0.8,14,0.3,High-throughput molecular screening,molecular,433817464.9004436,187791772.35632223,373665204.40352184,85331875.91644698
Influenza A/B,swept,35,0.8,21,0.3,High-throughput molecular screening,molecular,497200595.006682,209367523.25527495,375698278.73397595,87364950.246901
Influenza A/B,swept,50,0.4,7,0.75,High-throughput molecular screening,molecular,1273905185.7441647,495659675.6143405,403798475.2633689,115465146.77629401
Influenza A/B,swept,50,0.4,14,0.75,High-throughput molecular screening,molecular,1458796890.548554,571091815.115953,411606991.58057535,123273663.09350069
Influenza A/B,swept,50,0.4,21,0.75,High-throughput molecular screening,molecular,1663276449.6661494,658513571.7116005,420903751.42775315,132570422.94067846
Influenza A/B,swept,50,0.6,7,0.5,High-throughput molecular screening,molecular,913129490.6442423,355958050.07663834,389740275.8421947,101406947.35512006
Influenza A/B,swept,50,0.6,14,0.5,High-throughput molecular screening,molecular,1063780661.213898,412176969.7983514,395272984.41094327,106939655.92386848
Influenza A/B,swept,50,0.6,21,0.5,High-throughput molecular screening,molecular,1227856478.135147,475535369.10940444,401615558.68966246,113282230.20258787
Influenza A/B,swept,50,0.8,7,0.3,High-throughput molecular screening,molecular,793685301.1663586,313218965.7115335,385614419.44602156,97281090.95894653
Influenza A/B,swept,50,0.8,14,0.3,High-throughput molecular screening,molecular,928364186.0266991,362367357.5349999,390398314.8304542,102064986.34337954
Influenza A/B,swept,50,0.8,21,0.3,High-throughput molecular screening,molecular,1072532889.2519407,416519293.0301667,395743676.0786145,107410347.59153967
Influenza A/B,none,-1,0.0,-1,1.25,High-throughput molecular screening,molecular,8254484412.553563,7961001422.620693,8102522111.746397,7814188783.259324
Mpox,swept,14,0.4,7,0.9,High-throughput molecular screening,molecular,11053254286.266584,3670518073.791988,696442298.9807899,408108970.49371487
Mpox,swept,14,0.4,14,0.9,High-throughput molecular screening,molecular,11299584972.174807,3752611576.0520096,704105313.8461695,415771985.35909444
Mpox,swept,14,0.4,21,0.9,High-throughput molecular screening,molecular,11619308989.872639,3859259654.5801888,714064419.0371705,425731090.55009633
Mpox,swept,14,0.6,7,0.6,High-throughput molecular screening,molecular,3609075307.2658253,1218686590.381722,468779841.716573,180446513.22949865
Mpox,swept,14,0.6,14,0.6,High-throughput molecular screening,molecular,3705425090.713351,1250065586.7110825,471679007.40547675,183345678.91840208
Mpox,swept,14,0.6,21,0.6,High-throughput molecular screening,molecular,3828151049.018102,1290040352.6798148,475372580.77735746,187039252.2902831
Mpox,swept,14,0.8,7,0.3,High-throughput molecular screening,molecular,2160870057.181835,747382489.7871172,425249082.143189,136915753.65611443
Mpox,swept,14,0.8,14,0.3,High-throughput molecular screening,molecular,2232303405.74803,770609020.0859513,427393501.10246193,139060172.61538717
Mpox,swept,14,0.8,21,0.3,High-throughput molecular screening,molecular,2321537158.4844284,799625535.01366,430072576.11989725,141739247.63282287
Mpox,swept,21,0.4,7,0.9,High-throughput molecular screening,molecular,11605420685.319122,3854625574.111092,713631614.7997311,425298286.31265664
Mpox,swept,21,0.4,14,0.9,High-throughput molecular screening,molecular,12004041441.950085,3987736608.847081,726068127.9626708,437734799.4755967
Mpox,swept,21,0.4,21,0.9,High-throughput molecular screening,molecular,12501102772.266155,4153956904.0575852,741608157.9870921,453274829.5000166
Mpox,swept,21,0.6,7,0.6,High-throughput molecular screening,molecular,3831632667.4330397,1291174079.4982328,475477321.5548554,187143993.06778044
Mpox,swept,21,0.6,14,0.6,High-throughput molecular screening,molecular,3988364935.781302,1342234745.5743885,480195579.8015549,191862251.31448022
Mpox,swept,21,0.6,21,0.6,High-throughput molecular screening,molecular,4180291483.994338,1404776071.2700405,485975314.2703752,197641985.78330037
Mpox,swept,21,0.8,7,0.3,High-throughput molecular screening,molecular,2330557388.363582,802558718.0327473,430343396.39601743,142010067.90894246
Mpox,swept,21,0.8,14,0.3,High-throughput molecular screening,molecular,2446821177.4097605,840368770.8224654,433834536.95359576,145501208.46652135
Mpox,swept,21,0.8,21,0.3,High-throughput molecular screening,molecular,2586455723.359832,885785311.3184079,438028258.76885587,149694930.28178024
Mpox,swept,35,0.4,7,0.9,High-throughput molecular screening,molecular,13839881451.419092,4602958372.656408,783641754.2640253,495308425.7769499
Mpox,swept,35,0.4,14,0.9,High-throughput molecular screening,molecular,14735934303.644373,4904550878.808476,811921978.4844134,523588649.99733835
Mpox,swept,35,0.4,21,0.9,High-throughput molecular screening,molecular,15810185109.911348,5267260388.667847,845982783.4676199,557649454.9805455
Mpox,swept,35,0.6,7,0.6,High-throughput molecular screening,molecular,4741424625.038733,1587716987.0347419,502885369.82236236,214552041.3352874
Mpox,swept,35,0.6,14,0.6,High-throughput molecular screening,molecular,5099159713.427106,1704424667.6610906,513676381.1095664,225343052.62249136
Mpox,swept,35,0.6,21,0.6,High-throughput molecular screening,molecular,5521287002.113754,1842221493.752989,526420656.2328002,238087327.74572474
Mpox,swept,35,0.8,7,0.3,High-throughput molecular screening,molecular,3024977485.4939504,1028459061.330686,451204370.45654404,162871041.9694691
Mpox,swept,35,0.8,14,0.3,High-throughput molecular screening,molecular,3290626084.2846975,1114923949.4765482,459190961.0008365,170857632.51376155
Mpox,swept,35,0.8,21,0.3,High-throughput molecular screening,molecular,3598130174.864376,1215047882.3574872,468440652.5954645,180107324.10838988
Mpox,swept,50,0.4,7,0.9,High-throughput molecular screening,molecular,19146920556.094772,6401662066.274338,952855676.8314636,664522348.3443892
Mpox,swept,50,0.4,14,0.9,High-throughput molecular screening,molecular,21055426303.125175,7055886521.578124,1014732226.8290509,726398898.341975
Mpox,swept,50,0.4,21,0.9,High-throughput molecular screening,molecular,23295146475.534256,7828653869.091493,1088048843.1644943,799715514.6774193
Mpox,swept,50,0.6,7,0.6,High-throughput molecular screening,molecular,6947513992.734041,2308397372.208775,569560080.8594537,281226752.37237895
Mpox,swept,50,0.6,14,0.6,High-throughput molecular screening,molecular,7731798448.25448,2565199686.668715,593342704.2361889,305009375.7491138
Mpox,swept,50,0.6,21,0.6,High-throughput molecular screening,molecular,8641600412.46739,2863515639.431668,620986884.5665294,332653556.07945436
Mpox,swept,50,0.8,7,0.3,High-throughput molecular screening,molecular,4711367572.204645,1577827448.9986281,501967546.9835404,213634218.49646527
Mpox,swept,50,0.8,14,0.3,High-throughput molecular screening,molecular,5294951614.136788,1768220101.8177056,519571740.0670138,231238411.5799389
Mpox,swept,50,0.8,21,0.3,High-throughput molecular screening,molecular,5959357486.964254,1985169970.4659193,539639162.7184652,251305834.23139107
Mpox,none,-1,0.0,-1,1.5,High-throughput molecular screening,molecular,1022836019893.0852,1017238781108.8531,1001825368238.2502,1001537034909.763
Norovirus,swept,14,0.4,7,1.05,No systematic screening,none,84887116.41230804,104890311.81147756,399589190.2779102,111255861.79083523
Norovirus,swept,14,0.4,14,1.05,High-throughput molecular screening,molecular,123810708.72503851,131106537.81131464,406187262.12441623,117853933.63734153
Norovirus,swept,14,0.4,21,1.05,High-throughput molecular screening,molecular,169088905.81413847,172072942.03963047,422143065.59802145,133809737.11094658
Norovirus,swept,14,0.6,7,0.7,No systematic screening,none,26453948.955050126,54478638.407684736,361327237.18018675,72993908.6931123
Norovirus,swept,14,0.6,14,0.7,No systematic screening,none,62066138.11006662,70814320.61552548,363162696.28380585,74829367.79673098
Norovirus,swept,14,0.6,21,0.7,High-throughput molecular screening,molecular,114075253.81107712,105412449.27683353,368591144.2535485,80257815.76647349
Norovirus,swept,14,0.8,7,0.35,No systematic screening,none,16270746.422634644,50568793.52210744,360935812.9719015,72602484.4848266
Norovirus,swept,14,0.8,14,0.35,No systematic screening,none,39645024.27589116,59681854.72087529,361854357.46282494,73521028.97574988
Norovirus,swept,14,0.8,21,0.35,High-throughput molecular screening,molecular,79983490.78199878,80054782.82670607,364263903.758154,75930575.27107906
Norovirus,swept,21,0.4,7,1.05,High-throughput molecular screening,molecular,176804440.34059966,174475798.48083803,421459541.86325496,133126213.37618019
Norovirus,swept,21,0.4,14,1.05,High-throughput molecular screening,molecular,216887030.74955305,223440665.15208477,451595357.4503771,163262028.9633021
Norovirus,swept,21,0.4,21,1.05,High-throughput molecular screening,molecular,239501503.748156,258868412.31804785,495014531.9287525,206681203.44167754
Norovirus,swept,21,0.6,7,0.7,High-throughput molecular screening,molecular,136933979.7156395,120401177.61661518,371117175.7706499,82783847.28357525
Norovirus,swept,21,0.6,14,0.7,High-throughput molecular screening,molecular,190812041.92397776,179999020.70611778,390948836.3963743,102615507.9092996
Norovirus,swept,21,0.6,21,0.7,High-throughput molecular screening,molecular,222685926.25865674,228601061.4277059,430097263.0793499,141763934.59227508
Norovirus,swept,21,0.8,7,0.35,High-throughput molecular screening,molecular,113344640.38032109,99492482.8542861,366850860.2057054,78517531.71863116
Norovirus,swept,21,0.8,14,0.35,High-throughput molecular screening,molecular,170327680.9249509,152021649.72728992,378159633.61601114,89826305.1289367
Norovirus,swept,21,0.8,21,0.35,High-throughput molecular screening,molecular,207737467.92750078,203273716.27960768,402405371.76348597,114072043.27641119
Norovirus,swept,35,0.4,7,1.05,No systematic screening,none,270550780.45766723,309578212.5451285,592267073.3510498,303933744.86397463
Norovirus,swept,35,0.4,14,1.05,No systematic screening,none,272616844.52551943,313900750.89482373,610989593.794964,322656265.3078888
Norovirus,swept,35,0.4,21,1.05,No systematic screening,none,273573692.7595394,315900681.89480877,619938478.8361197,331605150.34904474
