scenario,pathogen,modality_key,modality_label,lead_days,prevalence_tier,prevalence_multiplier,vsl_scenario,vsl,horizon_days,Bd,Bd_nonneg,delta_screening_cost,delta_hospital_cost,delta_productivity_cost,delta_mortality_cost,delta_icu_cost,delta_infections,delta_deaths,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,Rt,CFR_pct,infectious_period_days,phi_pct,p0_pct,sensitivity
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,0.1x,0.1,high_income,11600000,365,51079875.59035289,51079875.59035289,-1250000.0,12586861.236404777,2674708.0127359927,36501897.5855737,566408.7556382156,699296.9915539995,3.1468364619929927,135319063.7931199,186398939.3834728,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,0.5x,0.5,low_resource,300000,365,20582057.63109882,20582057.63109882,-1250000.0,16384283.40044938,3481660.2225955147,1228821.2550336998,737292.7530202232,910179.6055486742,4.095808224969028,121000497.05817835,141582554.68927717,21,21,1.75,0.00075,2.0,37.5,1.25,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,0.5x,0.5,base_case,3500000,365,33689484.35145864,33689484.35145864,-1250000.0,16384283.40044938,3481660.2225955147,14336247.975393243,737292.7530202232,910179.6055486742,4.095808224969028,166598044.21439442,200287528.56585306,21,21,1.75,0.00075,2.0,37.5,1.25,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,0.5x,0.5,high_income,11600000,365,66867658.237368345,66867658.237368345,-1250000.0,16384283.40044938,3481660.2225955147,47514421.86130309,737292.7530202232,910179.6055486742,4.095808224969028,282016835.45356697,348884493.6909353,21,21,1.75,0.00075,2.0,37.5,1.25,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,1x,1.0,low_resource,300000,365,18098834.543730706,18098834.543730706,-1250000.0,14520701.346139833,3085649.0360547025,1089052.600960467,653431.5605762885,806641.6615372682,3.629887476917709,143930931.09892133,162029765.64265203,21,21,1.75,0.00075,2.0,37.5,2.5,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,1x,1.0,base_case,3500000,365,29715395.62064311,29715395.62064311,-1250000.0,14520701.346139833,3085649.0360547025,12705613.67787233,653431.5605762885,806641.6615372682,3.629887476917709,203295342.97003013,233010738.59067324,21,21,1.75,0.00075,2.0,37.5,2.5,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,1x,1.0,high_income,11600000,365,59119815.84657663,59119815.84657663,-1250000.0,14520701.346139833,3085649.0360547025,42110033.903805465,653431.5605762885,806641.6615372682,3.629887476917709,353561510.51877415,412681326.3653508,21,21,1.75,0.00075,2.0,37.5,2.5,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,2x,2.0,low_resource,300000,365,14240223.862089366,14240223.862089366,-1250000.0,11624933.479992151,2470298.364498291,871870.0109994169,523122.0065996428,645772.0982826361,2.9059744422718516,164360011.39975375,178600235.26184312,21,21,1.75,0.00075,2.0,37.5,5.0,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,2x,2.0,base_case,3500000,365,23540170.646083474,23540170.646083474,-1250000.0,11624933.479992151,2470298.364498291,10171816.794993192,523122.0065996428,645772.0982826361,2.9059744422718516,235989537.14753526,259529707.79361874,21,21,1.75,0.00075,2.0,37.5,5.0,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),10,2x,2.0,high_income,11600000,365,47080660.94306713,47080660.94306713,-1250000.0,11624933.479992151,2470298.364498291,33712307.09197685,523122.0065996428,645772.0982826361,2.9059744422718516,417301774.19660646,464382435.1396736,21,21,1.75,0.00075,2.0,37.5,5.0,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,0.1x,0.1,low_resource,300000,365,15283553.203910828,15283553.203910828,-1750000.0000000075,12783154.374417096,2716420.304563623,958736.578081284,575241.9468487675,710202.2985412432,3.1959103434355844,73983111.43279132,89266664.63670215,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,0.1x,0.1,base_case,3500000,365,25510076.70344436,25510076.70344436,-1750000.0000000075,12783154.374417096,2716420.304563623,11185260.07761494,575241.9468487675,710202.2985412432,3.1959103434355844,91352584.66757476,116862661.37101912,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,0.1x,0.1,high_income,11600000,365,51395964.31163913,51395964.31163913,-1750000.0000000075,12783154.374417096,2716420.304563623,37071147.68580946,575241.9468487675,710202.2985412432,3.1959103434355844,135319063.7931199,186715028.10475904,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.675
A_screening_only,Norovirus,rapid,Rapid Antigen Test (RAT),14,0.5x,0.5,low_resource,300000,365,20379912.86805187,20379912.86805187,-1750000.0000000075,16607814.535123467,3529160.5887137093,1245586.090134249,747351.6540805511,922597.1657568598,4.151687245905881,121000497.05817835,141380409.92623022,21,21,1.75,0.00075,2.0,37.5,1.25,0.675
