scenario,pathogen,modality_key,modality_label,lead_days,prevalence_tier,prevalence_multiplier,vsl_scenario,vsl,horizon_days,Bd,Bd_nonneg,delta_screening_cost,delta_hospital_cost,delta_productivity_cost,delta_mortality_cost,delta_icu_cost,delta_infections,delta_deaths,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,Rt,CFR_pct,infectious_period_days,phi_pct,p0_pct,sensitivity
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),5,0.5x,0.5,base_case,3500000,365,165219788.33815122,165219788.33815122,-624999.9999999925,2948351.79267825,626524.7559441295,162159348.59730315,110563.19222543447,936.9866356600228,46.38083846517043,711861926.8439058,877081715.182057,21,26,1.5,5.5,10.5,70.0,0.2,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),5,0.5x,0.5,high_income,11600000,365,540502852.2347698,540502852.2347698,-624999.9999999925,2948351.79267825,626524.7559441295,537442412.4939189,110563.19222543447,936.9866356600228,46.38083846517043,2220757345.872753,2761260198.107523,21,26,1.5,5.5,10.5,70.0,0.2,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),5,1x,1.0,low_resource,300000,365,34518036.98221412,34518036.98221412,-624999.9999999925,5892245.721568808,1252102.2158333613,27777729.83025293,220959.21455883014,1872.5451871309733,92.69098676298182,186430889.00398716,220948925.9862013,21,26,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),5,1x,1.0,base_case,3500000,365,330813821.83824515,330813821.83824515,-624999.9999999925,5892245.721568808,1252102.2158333613,324073514.68628144,220959.21455883014,1872.5451871309733,92.69098676298182,1378415077.3300805,1709228899.1683257,21,26,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),5,1x,1.0,high_income,11600000,365,1080812527.2550821,1080812527.2550821,-624999.9999999925,5892245.721568808,1252102.2158333613,1074072220.103115,220959.21455883014,1872.5451871309733,92.69098676298182,4395625054.030502,5476437581.285584,21,26,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),5,2x,2.0,low_resource,300000,365,69554966.57784897,69554966.57784897,-624999.9999999925,11766700.98311241,2500423.9589113966,55471590.348958164,441251.2868667159,3739.391234676228,185.0998661164707,327700956.7596896,397255923.3375386,21,26,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),5,2x,2.0,base_case,3500000,365,661251930.300076,661251930.300076,-624999.9999999925,11766700.98311241,2500423.9589113966,647168554.0711827,441251.2868667159,3739.391234676228,185.0998661164707,2710752542.6907434,3372004472.9908195,21,26,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),5,2x,2.0,high_income,11600000,365,2158984869.721962,2158984869.721962,-624999.9999999925,11766700.98311241,2500423.9589113966,2144901493.493061,441251.2868667159,3739.391234676228,185.0998661164707,8742851869.578726,10901836739.300688,21,26,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,0.1x,0.1,low_resource,300000,365,6891076.056409717,6891076.056409717,-1250000.0,1364970.8358052191,290056.3026086082,6434862.5116532,51186.40634269558,433.88120898872717,21.477119844941974,59194863.99071823,66085940.04712795,21,31,1.5,5.5,10.5,70.0,0.04,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,0.1x,0.1,base_case,3500000,365,75529609.51404351,75529609.51404351,-1250000.0,1364970.8358052191,290056.3026086082,75073395.96928677,51186.40634269558,433.88120898872717,21.477119844941974,178434601.90553743,253964211.41958094,21,31,1.5,5.5,10.5,70.0,0.04,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,0.1x,0.1,high_income,11600000,365,249270897.3286795,249270897.3286795,-1250000.0,1364970.8358052191,290056.3026086082,248814683.78392255,51186.40634269558,433.88120898872717,21.477119844941974,480260188.5024236,729531085.8311031,21,31,1.5,5.5,10.5,70.0,0.04,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,0.5x,0.5,low_resource,300000,365,39424090.3101048,39424090.3101048,-1250000.0,6819607.956185253,1449166.6906893635,32149580.364873253,255735.29835694632,2167.7273724195297,107.30250493476328,115755094.63497703,155179184.94508183,21,31,1.5,5.5,10.5,70.0,0.2,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,0.5x,0.5,base_case,3500000,365,382352947.5354196,382352947.5354196,-1250000.0,6819607.956185253,1449166.6906893635,375078437.59018815,255735.29835694632,2167.7273724195297,107.30250493476328,711861926.8439058,1094214874.3793254,21,31,1.5,5.5,10.5,70.0,0.2,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,0.5x,0.5,high_income,11600000,365,1250391617.3870006,1250391617.3870006,-1250000.0,6819607.956185253,1449166.6906893635,1243117107.4417658,255735.29835694632,2167.7273724195297,107.30250493476328,2220757345.872753,3471148963.2597537,21,31,1.5,5.5,10.5,70.0,0.2,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,1x,1.0,low_resource,300000,365,80020094.38131317,80020094.38131317,-1250000.0,13626123.608842913,2895551.26687912,64237439.87025936,510979.6353316085,4331.265535688909,214.39764401659386,186430889.00398716,266450983.38530034,21,31,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,1x,1.0,base_case,3500000,365,765219452.9974124,765219452.9974124,-1250000.0,13626123.608842913,2895551.26687912,749436798.4863579,510979.6353316085,4331.265535688909,214.39764401659386,1378415077.3300805,2143634530.327493,21,31,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,1x,1.0,high_income,11600000,365,2499630329.4944153,2499630329.4944153,-1250000.0,13626123.608842913,2895551.26687912,2483847674.983369,510979.6353316085,4331.265535688909,214.39764401659386,4395625054.030502,6895255383.524918,21,31,1.5,5.5,10.5,70.0,0.4,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,2x,2.0,low_resource,300000,365,160978764.62981445,160978764.62981445,-1250000.0,27200032.393022798,5780006.883517351,128228724.13853583,1020001.2147383557,8645.82384476614,427.9682803159104,327700956.7596896,488679721.3895041,21,31,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,2x,2.0,base_case,3500000,365,1528751822.1075287,1528751822.1075287,-1250000.0,27200032.393022798,5780006.883517351,1496001781.6162524,1020001.2147383557,8645.82384476614,427.9682803159104,2710752542.6907434,4239504364.798272,21,31,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),10,2x,2.0,high_income,11600000,365,4990927373.847998,4990927373.847998,-1250000.0,27200032.393022798,5780006.883517351,4958177333.35672,1020001.2147383557,8645.82384476614,427.9682803159104,8742851869.578726,13733779243.426723,21,31,1.5,5.5,10.5,70.0,0.8,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,0.1x,0.1,low_resource,300000,365,11078674.025453612,11078674.025453612,-1750000.0000000075,2150915.405465286,457069.52366137115,10140029.768622067,80659.32770494805,683.8431698311572,33.8502369066415,59194863.99071823,70273538.01617184,21,35,1.5,5.5,10.5,70.0,0.04,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,0.1x,0.1,base_case,3500000,365,119238991.55742192,119238991.55742192,-1750000.0000000075,2150915.405465286,457069.52366137115,118300347.30059034,80659.32770494805,683.8431698311572,33.8502369066415,178434601.90553743,297673593.46295935,21,35,1.5,5.5,10.5,70.0,0.04,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,0.1x,0.1,high_income,11600000,365,393019795.31021696,393019795.31021696,-1750000.0000000075,2150915.405465286,457069.52366137115,392081151.05338585,80659.32770494805,683.8431698311572,33.8502369066415,480260188.5024236,873279983.8126405,21,35,1.5,5.5,10.5,70.0,0.04,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,0.5x,0.5,low_resource,300000,365,62333044.37094264,62333044.37094264,-1750000.0000000075,10744462.52925974,2283198.2874677046,50652466.209367506,402917.34484724177,3415.9818077667383,169.091099484448,115755094.63497703,178088139.00591967,21,35,1.5,5.5,10.5,70.0,0.2,0.675
B_screening_plus_countermeasures,Mpox,rapid,Rapid Antigen Test (RAT),14,0.5x,0.5,base_case,3500000,365,602626017.2708632,602626017.2708632,-1750000.0000000075,10744462.52925974,2283198.2874677046,590945439.1092887,402917.34484724177,3415.9818077667383,169.091099484448,711861926.8439058,1314487944.114769,21,35,1.5,5.5,10.5,70.0,0.2,0.675
