pathogen,prevalence_tier,best_strategy,comparison_strategy,best_cost_icu,alt_cost_icu,best_fp_cum,alt_fp_cum,breakeven_cost_per_fp
Influenza A/B,1x,Sentinel RT-LAMP,Sentinel RT-LAMP,81691071.6,81691071.6,56064.0,56064.0,
Influenza A/B,2x,Sentinel RT-LAMP,No screening,91294641.5,631636446.13,53728.0,0.0,10056.99
Influenza A/B,2x,Sentinel RT-LAMP,RAT,91294641.5,252294111.41,53728.0,20148.0,4794.5
Influenza A/B,2x,Sentinel RT-LAMP,Lab PCR,91294641.5,379627969.99,53728.0,53728.0,
Influenza A/B,2x,Sentinel RT-LAMP,Sentinel RT-LAMP,91294641.5,91294641.5,53728.0,53728.0,
Mpox,0.5x,Sentinel RT-LAMP,No screening,131973783.49,1995280656.9,58283.2,0.0,31969.88
Mpox,0.5x,Sentinel RT-LAMP,RAT,131973783.49,693759687.7,58283.2,21856.2,15422.24
Mpox,0.5x,Sentinel RT-LAMP,Lab PCR,131973783.49,420307111.97,58283.2,58283.2,
Mpox,0.5x,Sentinel RT-LAMP,Sentinel RT-LAMP,131973783.49,131973783.49,58283.2,58283.2,
Mpox,1x,Sentinel RT-LAMP,No screening,191862251.31,3988364935.78,58166.4,0.0,65269.69
Mpox,1x,Sentinel RT-LAMP,RAT,191862251.31,1342234745.57,58166.4,21812.4,31643.63
Mpox,1x,Sentinel RT-LAMP,Lab PCR,191862251.31,480195579.8,58166.4,58166.4,
Mpox,1x,Sentinel RT-LAMP,Sentinel RT-LAMP,191862251.31,191862251.31,58166.4,58166.4,
Mpox,2x,Sentinel RT-LAMP,No screening,311633237.18,7967975317.56,57932.8,0.0,132159.02
Mpox,2x,Sentinel RT-LAMP,RAT,311633237.18,2638488289.35,57932.8,21724.8,64263.56
Mpox,2x,Sentinel RT-LAMP,Lab PCR,311633237.18,599966565.67,57932.8,57932.8,
Mpox,2x,Sentinel RT-LAMP,Sentinel RT-LAMP,311633237.18,311633237.18,57932.8,57932.8,
Norovirus,0.5x,Sentinel RT-LAMP,No screening,88832062.95,157682903.83,57670.0,0.0,1193.88
Norovirus,0.5x,Sentinel RT-LAMP,RAT,88832062.95,142874667.38,57670.0,21626.3,1499.36
Norovirus,0.5x,Sentinel RT-LAMP,Lab PCR,88832062.95,377165391.43,57670.0,57670.0,
Norovirus,0.5x,Sentinel RT-LAMP,Sentinel RT-LAMP,88832062.95,88832062.95,57670.0,57670.0,
Norovirus,1x,Sentinel RT-LAMP,No screening,102615507.91,190812041.92,56940.0,0.0,1548.94
Norovirus,1x,Sentinel RT-LAMP,RAT,102615507.91,179999020.71,56940.0,21352.5,2174.46
Norovirus,1x,Sentinel RT-LAMP,Lab PCR,102615507.91,390948836.4,56940.0,56940.0,
Norovirus,1x,Sentinel RT-LAMP,Sentinel RT-LAMP,102615507.91,102615507.91,56940.0,56940.0,
Norovirus,2x,Sentinel RT-LAMP,No screening,124383340.92,218166494.19,55480.0,0.0,1690.4
Norovirus,2x,Sentinel RT-LAMP,RAT,124383340.92,215888300.72,55480.0,20805.0,2638.93
Norovirus,2x,Sentinel RT-LAMP,Lab PCR,124383340.92,412716669.4,55480.0,55480.0,
Norovirus,2x,Sentinel RT-LAMP,Sentinel RT-LAMP,124383340.92,124383340.92,55480.0,55480.0,
SARS-CoV-2,0.5x,Sentinel RT-LAMP,No screening,113843487.54,1385633681.63,57962.0,0.0,21941.79
SARS-CoV-2,0.5x,Sentinel RT-LAMP,RAT,113843487.54,496820393.81,57962.0,21735.7,10571.81
SARS-CoV-2,0.5x,Sentinel RT-LAMP,Lab PCR,113843487.54,402176816.03,57962.0,57962.0,
SARS-CoV-2,0.5x,Sentinel RT-LAMP,Sentinel RT-LAMP,113843487.54,113843487.54,57962.0,57962.0,
SARS-CoV-2,1x,Sentinel RT-LAMP,No screening,155591724.86,2758346470.67,57524.0,0.0,45246.41
SARS-CoV-2,1x,Sentinel RT-LAMP,RAT,155591724.86,947200475.22,57524.0,21571.5,22018.18
SARS-CoV-2,1x,Sentinel RT-LAMP,Lab PCR,155591724.86,443925053.35,57524.0,57524.0,
SARS-CoV-2,1x,Sentinel RT-LAMP,Sentinel RT-LAMP,155591724.86,155591724.86,57524.0,57524.0,
SARS-CoV-2,2x,Sentinel RT-LAMP,No screening,239052481.8,5466275182.46,56648.0,0.0,92275.5
SARS-CoV-2,2x,Sentinel RT-LAMP,RAT,239052481.8,1843841505.13,56648.0,21243.0,45326.62
SARS-CoV-2,2x,Sentinel RT-LAMP,Lab PCR,239052481.8,527385810.28,56648.0,56648.0,
SARS-CoV-2,2x,Sentinel RT-LAMP,Sentinel RT-LAMP,239052481.8,239052481.8,56648.0,56648.0,
